Ranking	Name	Affiliation	Google Scholar	Book Points	Highest Amazon	Syllabus Points	Newspaper Mentions	Education Press	Web Mentions	Congressional Record	Twitter	Total	Twitter Handle
132	Eva Baker	UCLA	47	6.5	0	0	1	0	3.2	0	0	57.8	
133	Carolyn Heinrich	Vanderbilt	42	2	0	0.7	2	2	3.8	0	5.1	57.7	CJ_Heinrich
134	Brian A. Jacob	U. Michigan	45	0	0	2.1	2	0	8.4	0	0.1	57.6	BrianJacobProf
135	Roberto G. Gonzales	Harvard	24	4	9.5	2.4	2	0	9.4	0	5.9	57.2	RGGonzales1
136	Roland G. Fryer Jr.	Harvard	41	0	0	1	8	0	6.7	0	0	56.6	
137	Alfredo Artiles	Arizona State	50	4	0	0.1	0	0	1.9	0	0.1	56.2	artilesaj
138	David K. Cohen	U. Michigan	43	7	0	1	0	2	2.1	0	0	55.1	
139	Sandra E. Black	Columbia (Economics)	35	0	0	0.6	0	1	7	5	6.1	54.7	Econ_Sandy
140	Anthony Jack	Harvard	6	2	19	0.1	7	5	9.1	0	5.8	53.9	tony_jack
141	Josipa Roksa	U. Virginia	31	1.5	6.7	4.1	0	6	4.2	0	0	53.5	
142	Charles M. Payne	Rutgers	18	8	11.5	10	2	2	1.9	0	0	53.4	
143	Janelle Scott	UC Berkeley	25	1	4.2	0.4	3	0	14.2	0	5.5	53.3	janelletscott
144 (tie)	Mica Pollock	UC San Diego	14	7	15.3	3.9	2	4	2	0	4.7	52.9	micapollock
144 (tie)	Ivory Toldson	Howard	21	4	10.2	0.2	2	3	7.7	0	4.8	52.9	toldson
146	Julian Vasquez Heilig	U. Kentucky	21	0	0	0.7	6	5	12.5	0	6.3	51.5	ProfessorJVH
147	Cecilia Elena Rouse	Princeton	35	0.5	0	0.5	6	1	7.9	0	0	50.9	
148	Morgan Polikoff	USC	23	0	0	0.2	7	7	7.3	0	6.3	50.8	mpolikoff
149	Carol D. Lee	Northwestern	40	2.5	0	1.2	0	0	7	0	0	50.6	
150 (tie)	Margaret Beale Spencer	U. Chicago	45	0.5	0	0.5	0	0	4.1	0	0	50.1	
150 (tie)	Pam Grossman	U. Penn	34	1	0	0.6	1	2	8.5	0	2.9	50.1	PamPennGSE
152	Peter Arcidiacono	Duke	31	0	0	4.4	4	2	7	0	0	48.4	
153	Benjamin L. Castleman	U. Virginia	21	3.5	1.9	0.1	4	3	8.5	0	6.2	48.2	BenCastleman
154	Heather C. Hill	Harvard	41	0.5	0	0.5	1	0	5	0	0	48.1	
155	Michael A. Rebell	Columbia (TC)	24	8.5	0	0.4	5	2	7.8	0	0	47.7	
156	Django Paris	U. Washington	16	3.5	13.3	1	0	4	3.2	0	6.6	47.6	django_paris
157	David J. Deming	Harvard	20	0	0	0.4	10	2	9.5	0	5.1	47	ProfDavidDeming
158	James Wyckoff	U. Virginia	39	0	0	0.8	1	2	3	0	0	45.8	
159	Jack Schneider	U. Massachusetts Lowell	11	6	0	0.2	10	7	4.4	0	6	44.6	Edu_Historian
160	Judith Scott-Clayton	Columbia (TC)	25	0	0	0.4	5	2	6	0	5.9	44.3	jscottclayton
161	Joshua S. Goodman	Brandeis	18	0	0	0.1	8	6	5.3	0	6.7	44	JoshuaSGoodman
162	Michael Podgursky	U. Missouri	38	2.5	0	0.5	1	0	1.2	0	0.1	43.2	podgurskym
163	Prudence Carter	UC Berkeley	20	4.5	1.1	3	1	0	7.1	0	6.3	43	prudencelcarter
164	Andrew Ho	Harvard	31	0	0	0	1	0	4.9	0	5.9	42.9	AndrewDeanHo
165	Katharine O. Strunk	Michigan State	19	0	0	0	7	6	4.4	0	6.1	42.6	KatharineStrunk
166	Tim Sass	Georgia State	39	0	0	0.2	2	0	1.1	0	0	42.3	
167 (tie)	Diane Schanzenbach	Northwestern	31	0	0	0.5	0	2	3.1	0	5.5	42	dwschanz
167 (tie)	Elaine Allensworth	U. Chicago	34	1	0	0.6	2	0	2.6	0	1.8	42	E_Allensworth
169	Mark Berends	Notre Dame	34	2.5	0	0.3	0	0	2.6	0	2.4	41.8	berendma
170	Jonah Rockoff	Columbia (Business)	32	0	0	1.1	2	2	4.5	0	0	41.6	
171	Ron Zimmer	U. Kentucky	36	1	0	0.2	0	2	2.2	0	0	41.4	
172 (tie)	Kirabo Jackson	Northwestern	23	0	0	0.4	1	6	4.1	0	6.5	41	KiraboJackson
172 (tie)	Josh Cowen	Michigan State	22	0	0	0	4	4	5.5	0	5.5	41	joshcowenMSU
174	Eric Bettinger	Stanford	28	0	0	1.6	4	0	7.2	0	0	40.8	
175	Marcus A. Winters	Boston U.	29	2	0	0.1	0	0	4.6	0	4.9	40.6	MarcusAWinters
176	Stacey Lee	U. Wisconsin-Madison	24	5.5	0	0.4	0	0	10.5	0	0	40.4	
177	Jerlando Jackson	U. Wisconsin-Madison	25	2	0	0.1	5	1	1.8	0	4.8	39.7	DrJFLJackson
178	Matt Kraft	Brown	24	0	0	0.2	2	4	3	0	5.6	38.8	MatthewAKraft
